,country,avg_goals_per_world_cup,avg_conceded_goals_per_world_cup,total_goal_scored,total_goals_conceded,world_cup_appearances,num_of_world_cup_winners,num_of_world_cup_runners_up,num_of_world_cup_third,num_of_world_cup_fourth
0,Algeria,3,4,12,16,4,,,,
1,Angola,1,2,1,2,1,,,,
2,Argentina,7,4,120,79,16,2.0,3.0,0.0,0.0
3,Australia,2,6,11,26,4,,,,
4,Austria,6,6,42,43,7,0.0,0.0,1.0,1.0
5,Belgium,3,5,47,65,12,0.0,0.0,0.0,1.0
6,Bolivia,0,5,1,16,3,,,,
7,Brazil,10,4,201,94,20,5.0,2.0,2.0,2.0
8,Bulgaria,3,7,21,50,7,0.0,0.0,0.0,1.0
9,Cameroon,2,5,14,39,7,,,,
10,Canada,0,3,0,3,1,,,,
11,Chile,4,5,38,46,9,0.0,0.0,1.0,0.0
12,China PR,0,9,0,9,1,,,,
13,Colombia,5,5,26,27,5,,,,
14,Costa Rica,4,5,17,23,4,,,,
15,Croatia,4,3,19,13,4,0.0,0.0,1.0,0.0
16,Cuba,5,12,5,12,1,,,,
17,Czech Republic,3,2,3,2,1,,,,
18,Czechoslovakia,5,5,41,41,8,0.0,2.0,0.0,0.0
19,Cï¿½te d'Ivoire,3,3,11,10,3,,,,
20,Denmark,6,6,27,24,4,,,,
21,Dutch East Indies,0,6,0,6,1,,,,
22,Ecuador,3,3,10,11,3,,,,
23,Egypt,1,3,3,6,2,,,,
24,El Salvador,0,11,1,22,2,,,,
25,England,4,3,65,50,14,1.0,0.0,0.0,1.0
26,France,6,4,93,64,14,1.0,1.0,2.0,1.0
27,German DR,4,4,4,4,1,,,,
28,Germany,10,5,92,45,9,2.0,1.0,3.0,0.0
29,Germany FR,12,7,112,69,9,2.0,3.0,1.0,1.0
30,Ghana,3,4,11,13,3,,,,
31,Greece,1,4,5,14,3,,,,
32,Haiti,2,14,2,14,1,,,,
33,Honduras,0,3,2,10,3,,,,
34,Hungary,8,5,78,49,9,0.0,2.0,0.0,0.0
35,IR Iran,0,3,2,10,3,,,,
36,Iran,1,4,5,12,3,,,,
37,Iraq,1,3,1,3,1,,,,
38,Israel,1,3,1,3,1,,,,
39,Italy,5,3,106,64,18,4.0,2.0,1.0,1.0
40,Jamaica,3,9,3,9,1,,,,
41,Japan,2,4,14,21,5,,,,
42,Korea DPR,3,10,6,21,2,,,,
43,Korea Republic,3,7,31,67,9,0.0,0.0,0.0,1.0
44,Kuwait,2,6,2,6,1,,,,
45,Mexico,3,5,52,84,15,,,,
46,Morocco,2,4,11,16,4,,,,
47,Netherlands,7,4,73,43,10,0.0,3.0,1.0,1.0
48,New Zealand,1,6,3,13,2,,,,
49,Nigeria,3,4,19,24,5,,,,
50,Northern Ireland,4,7,13,23,3,,,,
51,Norway,2,2,7,8,3,,,,
52,Paraguay,3,4,30,37,8,,,,
53,Peru,4,7,19,31,4,,,,
54,Poland,5,5,40,39,7,0.0,0.0,2.0,0.0
55,Portugal,6,4,39,28,6,0.0,0.0,1.0,1.0
56,Romania,4,4,30,32,7,,,,
57,Russia,4,4,12,12,3,,,,
58,Saudi Arabia,2,8,9,32,4,,,,
59,Scotland,3,5,25,40,8,,,,
60,Senegal,7,6,7,6,1,,,,
61,Serbia,2,3,2,3,1,,,,
62,Slovakia,5,7,5,7,1,,,,
63,Slovenia,2,3,4,7,2,,,,
64,South Africa,3,5,11,16,3,,,,
65,Soviet Union,7,3,50,27,7,0.0,0.0,0.0,1.0
66,Spain,6,4,85,63,14,1.0,0.0,0.0,1.0
67,Sweden,6,5,66,60,11,0.0,1.0,2.0,1.0
68,Switzerland,4,5,43,59,10,,,,
69,Togo,1,4,1,4,1,,,,
70,Tunisia,2,3,8,15,4,,,,
71,Turkey,9,8,19,17,2,0.0,0.0,1.0,0.0
72,USA,3,6,34,61,10,0.0,0.0,1.0,0.0
73,Ukraine,5,7,5,7,1,,,,
74,Uruguay,6,5,78,67,12,2.0,0.0,0.0,3.0
75,Wales,3,3,3,3,1,,,,
76,Yugoslavia,6,4,58,44,9,0.0,0.0,0.0,2.0
77,Zaire,0,14,0,14,1,,,,
78,rn>Bosnia and Herzegovina,4,4,4,4,1,,,,
79,rn>Republic of Ireland,2,2,7,7,3,,,,
80,rn>Serbia and Montenegro,2,10,2,10,1,,,,
81,rn>Trinidad and Tobago,0,2,0,2,1,,,,
82,rn>United Arab Emirates,2,11,2,11,1,,,,
